                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.34222,                0.37066,                 1.0059,                0.79858,                0.75044,                0.77416,                0.55454,                 1.0356,                 1.4364,                0.84786,               0.008317,               0.008317,               0.008317
                     54,                0.34188,                0.36951,                 1.0183,                0.72589,                0.77649,                0.76574,                0.65064,                 1.0566,                 1.4399,                0.84942,               0.008284,               0.008284,               0.008284
                     55,                0.33433,                0.37237,                 1.0042,                0.79508,                0.70993,                0.75702,                0.60786,                 1.1036,                  1.339,                0.88185,               0.008251,               0.008251,               0.008251
                     56,                0.34427,                0.35686,                 1.0105,                0.66289,                0.74486,                0.72964,                0.56133,                 1.1061,                 1.4176,                0.86513,               0.008218,               0.008218,               0.008218
                     57,                0.33479,                0.35618,                 1.0081,                0.74421,                0.74302,                0.75456,                0.55588,                 1.1155,                 1.4086,                0.85683,               0.008185,               0.008185,               0.008185
                     58,                0.33399,                0.36252,                 1.0049,                 0.7996,                0.75736,                0.77173,                0.58596,                 1.0762,                 1.3603,                0.86298,               0.008152,               0.008152,               0.008152
                     59,                0.33674,                0.36855,                  1.008,                0.74515,                0.76498,                0.74219,                0.58057,                 1.0662,                 1.5562,                0.85108,               0.008119,               0.008119,               0.008119
                     60,                 0.3401,                0.35383,                 1.0015,                0.78365,                0.75092,                 0.7666,                0.59964,                  1.065,                 1.3758,                0.84863,               0.008086,               0.008086,               0.008086
                     61,                0.33445,                0.35936,                 1.0137,                0.78071,                0.76812,                0.76735,                0.63701,                 1.0693,                 1.4918,                0.84263,               0.008053,               0.008053,               0.008053
                     62,                0.33936,                0.35875,                 1.0139,                0.76847,                0.76924,                0.74584,                0.57619,                 1.0803,                 1.5083,                0.88437,                0.00802,                0.00802,                0.00802
                     63,                 0.3307,                0.34982,                 1.0073,                0.79087,                0.76125,                0.76128,                 0.5788,                 1.0666,                 1.4558,                0.82777,               0.007987,               0.007987,               0.007987
                     64,                0.33104,                0.35554,                  1.005,                0.78144,                 0.7453,                0.76051,                0.60033,                 1.0593,                 1.4574,                0.84707,               0.007954,               0.007954,               0.007954
                     65,                0.33178,                0.34374,                0.99892,                0.78254,                0.77834,                0.77221,                0.61207,                 1.0888,                 1.3846,                0.87061,               0.007921,               0.007921,               0.007921
                     66,                0.33198,                0.34493,                 1.0037,                0.81252,                0.75975,                0.77586,                0.59647,                 1.0941,                  1.395,                  0.859,               0.007888,               0.007888,               0.007888
                     67,                0.32956,                0.34973,                 1.0059,                0.79767,                 0.7562,                0.75425,                 0.5555,                 1.0689,                 1.5053,                0.86663,               0.007855,               0.007855,               0.007855
                     68,                0.32972,                0.33705,                  1.003,                0.80788,                0.78115,                0.78757,                0.58419,                 1.0548,                 1.5411,                0.84434,               0.007822,               0.007822,               0.007822
                     69,                0.32908,                0.33833,                 1.0034,                0.73164,                0.78598,                0.75919,                0.58414,                  1.076,                 1.4665,                0.84932,               0.007789,               0.007789,               0.007789
                     70,                0.31947,                0.32804,                0.99671,                0.81552,                 0.7782,                0.78828,                0.61232,                 1.0329,                  1.375,                0.82183,               0.007756,               0.007756,               0.007756
                     71,                0.32075,                0.34156,                 1.0009,                 0.7966,                0.75448,                0.77998,                0.60872,                 1.0594,                 1.5512,                0.83885,               0.007723,               0.007723,               0.007723
                     72,                0.32274,                0.32689,                 1.0014,                0.77889,                0.80061,                0.78541,                0.58184,                 1.0732,                  1.443,                0.84901,                0.00769,                0.00769,                0.00769
                     73,                0.32714,                0.34266,                 1.0018,                0.61634,                0.78954,                0.75097,                0.54768,                 1.0653,                 1.4551,                0.85843,               0.007657,               0.007657,               0.007657
                     74,                0.31745,                0.32824,                 0.9951,                0.78273,                0.75817,                0.76763,                0.58518,                 1.0306,                 1.4372,                0.82359,               0.007624,               0.007624,               0.007624
                     75,                0.32131,                0.32818,                0.99818,                0.79849,                0.77834,                0.78326,                 0.6185,                 1.0716,                 1.3696,                0.85081,               0.007591,               0.007591,               0.007591
                     76,                0.31989,                0.33233,                0.99433,                0.80197,                0.79316,                0.78774,                 0.6127,                 1.0929,                 1.3495,                 0.8636,               0.007558,               0.007558,               0.007558
                     77,                0.31878,                0.31913,                0.99804,                0.78423,                0.76173,                0.77825,                0.61312,                  1.067,                 1.4298,                0.86122,               0.007525,               0.007525,               0.007525
                     78,                0.32018,                 0.3184,                0.99408,                0.78844,                0.77474,                0.78899,                0.60171,                 1.0913,                 1.4158,                0.85639,               0.007492,               0.007492,               0.007492
                     79,                0.31923,                0.32407,                0.99628,                0.80657,                0.78203,                0.78453,                0.59708,                 1.0468,                 1.5228,                0.83122,               0.007459,               0.007459,               0.007459
                     80,                0.31361,                 0.3161,                0.98943,                0.80653,                0.80479,                0.79676,                0.58286,                 1.0091,                 1.4208,                0.81072,               0.007426,               0.007426,               0.007426
                     81,                 0.3145,                0.31466,                0.98486,                0.78666,                0.78361,                0.77953,                0.59595,                 1.1036,                 1.3055,                0.86731,               0.007393,               0.007393,               0.007393
                     82,                0.30836,                0.32558,                0.98909,                0.78572,                0.77847,                0.78125,                0.61166,                 1.0152,                 1.4425,                0.82018,                0.00736,                0.00736,                0.00736
                     83,                0.31562,                0.31782,                0.98635,                0.78834,                0.77214,                0.78289,                0.61807,                 1.0892,                  1.449,                0.86083,               0.007327,               0.007327,               0.007327
                     84,                0.31198,                0.31871,                0.98035,                0.80403,                0.79109,                0.78954,                0.65687,                 1.1019,                 1.3216,                0.86711,               0.007294,               0.007294,               0.007294
                     85,                0.31153,                0.30368,                0.98707,                0.78383,                0.78018,                0.77849,                0.61044,                 1.0689,                 1.3709,                0.84855,               0.007261,               0.007261,               0.007261
                     86,                0.30818,                0.31877,                0.97866,                0.79936,                0.79287,                0.78709,                0.61601,                 1.0555,                  1.271,                0.83959,               0.007228,               0.007228,               0.007228
                     87,                0.31178,                0.30966,                0.99098,                0.76716,                0.75445,                0.77814,                0.60587,                 1.0647,                  1.498,                0.84304,               0.007195,               0.007195,               0.007195
                     88,                0.30947,                0.30871,                0.98579,                0.83509,                 0.7909,                0.80108,                 0.6415,                 1.0716,                  1.217,                 0.8527,               0.007162,               0.007162,               0.007162
                     89,                 0.3086,                0.30788,                0.98727,                0.82952,                0.79282,                0.80089,                0.65368,                 1.0821,                 1.2339,                0.84093,               0.007129,               0.007129,               0.007129
                     90,                0.31368,                0.31519,                0.99323,                0.80296,                0.80366,                0.79759,                0.66337,                 1.0893,                 1.2415,                0.85653,               0.007096,               0.007096,               0.007096
                     91,                0.30491,                0.30351,                0.97981,                 0.7963,                0.79863,                0.80187,                0.62603,                 1.0454,                 1.2852,                0.84066,               0.007063,               0.007063,               0.007063
                     92,                0.31361,                0.30027,                0.98423,                 0.8026,                0.81119,                0.79754,                0.62527,                 1.0448,                 1.2954,                0.84228,                0.00703,                0.00703,                0.00703
                     93,                0.30692,                0.30564,                0.98829,                0.80346,                0.77451,                0.78386,                0.62133,                 1.0453,                  1.324,                0.82306,               0.006997,               0.006997,               0.006997
                     94,                0.31169,                0.30842,                0.98609,                0.79678,                0.80074,                 0.7962,                0.61938,                 1.0582,                 1.3657,                0.83923,               0.006964,               0.006964,               0.006964
                     95,                0.31089,                0.31079,                0.98164,                0.81297,                0.78954,                0.78895,                 0.6175,                 1.0466,                 1.3327,                0.84244,               0.006931,               0.006931,               0.006931
                     96,                0.30585,                0.28685,                0.98513,                0.83413,                0.76555,                0.78165,                0.59868,                 1.0789,                 1.3466,                0.84566,               0.006898,               0.006898,               0.006898
                     97,                0.29971,                0.29352,                0.97974,                0.81268,                0.77746,                0.78445,                 0.6178,                 1.0569,                 1.3521,                0.84051,               0.006865,               0.006865,               0.006865
                     98,                0.30588,                0.29089,                0.98406,                0.80329,                0.79559,                0.78328,                0.61436,                 1.0431,                 1.3709,                0.82623,               0.006832,               0.006832,               0.006832
                     99,                0.29869,                0.29736,                0.98665,                0.82638,                0.80219,                0.80092,                 0.6278,                 1.0372,                 1.3861,                0.83443,               0.006799,               0.006799,               0.006799
                    100,                0.30299,                0.29522,                0.98372,                0.79778,                0.80663,                0.78988,                0.62676,                 1.0429,                 1.3311,                0.83082,               0.006766,               0.006766,               0.006766
                    101,                 0.3046,                0.29713,                0.98524,                0.80019,                0.81326,                0.78925,                 0.6178,                 1.0312,                  1.355,                0.81192,               0.006733,               0.006733,               0.006733
                    102,                0.30167,                 0.2958,                0.98732,                0.77994,                0.80186,                 0.8018,                0.65823,                 1.0423,                 1.3859,                  0.821,                 0.0067,                 0.0067,                 0.0067
